timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.117510986328125,0.2496524043576792,0.3940251829244196,-0.8982657675415276,0.0623390600085258,0.174983263015747,0.3082112073898315
0.13756298828125,0.6666669428013264,0.5859747919086367,0.3578413782566785,-0.0398805625736713,0.2877635955810547,0.3895145654678345
0.15761474609375,0.6560039483591914,0.6329274625457822,0.4139145631343126,0.0278574042022228,0.3015000224113464,0.4542886316776275
0.177667724609375,0.5137612771563231,0.7190879618469626,0.823086900177598,0.1054099798202514,0.2856384813785553,0.4910740852355957
0.1977197265625,0.647935281259194,0.7770991290498525,0.8890636394321918,0.1755207926034927,0.1851854026317596,0.5094811320304871
0.21777294921875,0.8367775718778371,0.9194970638796688,1.1165209804534912,0.2062502354383468,-0.0012663463130593,0.5307011604309082
0.237824951171875,0.9398517965789884,0.919681918927282,1.3696037611186505,0.0596949867904186,-0.2162166833877563,0.5487498044967651
0.257876953125,0.6299341990139335,1.0726546584591268,0.5059978035479784,0.0144926933571696,-0.3192862570285797,0.5225679874420166
0.2779296875,0.3501590435931458,1.2011965749591589,-0.0903974792838096,-0.0155405085533857,-0.269083023071289,0.459614485502243
0.29798193359375,0.2626723737221211,1.1975155483588575,-0.3507937978327274,-0.052022099494934,-0.1320123970508575,0.3951351046562195
0.318034912109375,0.5279764476547018,1.3005882386900485,-0.6920002676308155,0.0187557768076658,-0.0061751808971166,0.4084816873073578
0.3380869140625,0.7854355071753263,1.3542175375469028,-0.3099468236595392,0.0693132430315017,0.1138157472014427,0.4926356673240661
0.358138916015625,0.7915709411904215,1.2033888243064284,0.1936883424103259,0.0692992582917213,0.1414166092872619,0.5415216684341431
0.37819189453125,0.8116722105853259,1.0141829610724002,0.4796744447678327,0.0956206023693084,0.0402603559195995,0.5160370469093323
0.398243896484375,0.9219004717595874,0.9182976249620318,0.8500240069419145,0.044520229101181,0.0048203947953879,0.547756552696228
0.418296875,0.920798209606111,0.8469657884150743,0.7457780350476503,0.004714319948107,0.0300813876092433,0.6158939003944397
0.43834912109375,0.7462844501998275,0.6125833243057132,0.587745527908206,0.0175900347530841,-0.0135599691420793,0.5955280661582947
0.4584013671875,0.8043090614061802,0.3882657426148653,0.5619938315361738,0.0144282784312963,-0.0820051580667495,0.5587736368179321
0.478454345703125,0.8489568161018193,0.3372566361937671,0.4454366596013307,0.0152766220271587,-0.0565059967339038,0.5716657638549805
0.49850634765625,0.747283105848357,0.1754788781113922,0.2031149269253015,0.035763818770647,-0.0504657961428165,0.5848321914672852
0.518559326171875,0.5062711771292612,-0.0008852584019303,0.1377870069682598,0.0718317776918411,-0.0456323102116584,0.5741936564445496
0.538611083984375,0.1413333469387609,-0.1533017522905022,0.23381577013731,0.0869487896561622,-0.0099383750930428,0.5057862401008606
0.558663330078125,0.1988754261920228,-0.2365221064865589,0.0765741211146116,0.1075795963406562,-0.0491380617022514,0.3991415202617645
0.578716064453125,0.2619808112613856,-0.2135526612441986,0.0800327371358871,0.1107401400804519,-0.1167841330170631,0.3420572578907013
0.59876806640625,0.1462602910800836,-0.1646195573795586,-0.0298375043809413,0.1109663993120193,-0.0832950696349144,0.2968699038028717
0.6188212890625,0.2075004485331475,-0.1984367059811949,0.0238882405877113,0.1175582706928253,0.002533892635256,0.2846094965934753
0.638873291015625,0.3419246280048042,-0.2172172481663525,-0.0025303952604532,0.2046559602022171,0.011251788586378,0.2550642788410187
0.65892626953125,0.5716570743512361,-0.2389431961536407,0.1466717396914958,0.2642696499824524,-0.1083714663982391,0.2435441017150879
0.678978271484375,0.6255819220885634,-0.2287739765778183,0.5964730242431163,0.192533254623413,-0.1665578782558441,0.2528770267963409
0.6990302734375,0.6212897047873586,-0.2166253466878086,0.4768932896167039,0.1156176105141639,-0.2575425803661346,0.2787744700908661
0.719083251953125,0.480628676752746,-0.1918595926132053,-0.2457102060705423,0.169025108218193,-0.2893620133399963,0.2559744417667389
0.73913525390625,0.2028385942019522,-0.1222241847205907,-0.4925538000851869,0.209242358803749,-0.175280287861824,0.2129001468420028
0.759188232421875,0.2702285247227177,-0.2057357769481837,-0.1499433087080717,0.1110379621386528,-0.0719967260956764,0.217520534992218
0.779240478515625,0.3419683210160583,-0.1906735976990312,-0.2584995450168847,0.0467249415814876,-0.07271608710289,0.2428595423698425
0.799293212890625,0.263923798555322,-0.1424698310222476,-0.843005068090558,0.080854631960392,-0.2369667738676071,0.2104430496692657
0.81934521484375,-0.1241166474036872,-0.22270956197232,-0.9442214630305766,0.0381941124796867,-0.2791520357131958,0.116182193160057
0.8393984375,-0.2215706941355019,-0.2143956148743629,-0.8958172053456306,-0.0487323887646198,-0.1812855750322342,-0.0016971584409475
0.859450439453125,-0.0328714652493596,-0.1858181935571134,-0.8995458704799413,-0.0860700756311416,-0.1300969272851944,-0.1293345987796783
0.87950341796875,0.3314883549906313,-0.0400790585406124,-0.7474106046855449,-0.0703540071845054,-0.0498302057385444,-0.1706297695636749
